Name,ID
Hana Lipke,NA
Shelley Peper,NA
Gail Hennig,NA
Lara Miller,https://openalex.org/A5080602251
Paula Johnson,https://openalex.org/A5084209198
Paula Johnson,https://openalex.org/A5062288499
Beth Reese,NA
Michelle Halla,NA
Nikolas Sanchez,NA
Jeremiah Paschke-wood,https://openalex.org/A5066442006
Ping Situ,https://openalex.org/A5066336894
Mona Nakamura,NA
Jennifer Nichols,NA
Rachel Castro,NA
Mary Feeney,https://openalex.org/A5051274338
Yvonne Mery,https://openalex.org/A5009811696
Robin Vickery,NA
Nicole Pagowsky,https://openalex.org/A5088021191
Leslie Sult,https://openalex.org/A5019771477
