Name,ID
Harriett Green,NA
Tara Radniecki,NA
Celeste Reyes,NA
Roberta Chong,NA
David Borycz,NA
Tiffany Calderon,NA
Yingxuan Liu,https://openalex.org/A5012904439
Jennifer Church-Duran,NA
Adrian Cota,NA
Hasan Sanli,NA
Susan Fasciani,NA
Mary Simons,NA
Kenya Johnson,NA
Monica Romero,NA
Shan Sutton,https://openalex.org/A5061280794
Ella Peterson,NA
Michael Brewer,https://openalex.org/A5009411264
Michael Brewer,https://openalex.org/A5047553232
Michael Brewer,https://openalex.org/A5081779788
Lidia Barcelo,NA
Marty Taylor,NA
Hayri Yildirim,NA
Aengus Anderson,NA
