Name,ID
Mohammad Hassibi,NA
Heidy Castro,NA
Lauren Williams,https://openalex.org/A5065909147
Bradley Comden,NA
Makensie Jones,NA
Sydney Aguirre Miranda,NA
Samantha Stevens,https://openalex.org/A5059242519
Deanna Siragusa,NA
Elizabeth Gress,NA
Ava Christensen,NA
Ami Jones,NA
Matthew D'Apice,NA
Violeta Keifer,NA
Jesus Villalobos,NA
Olivia Postal,NA
Christine Miller,NA
Anthony Foggiano,NA
Akila Mathis-Adams,NA
Elissa Mondschein,NA
Tory Middlebrooks,NA
Lucy Provost,NA
Genesis Florendo,NA
Devin Johnson,https://openalex.org/A5016809644
Peter Schwarz,NA
Mona Ammon,NA
John Miller-Wells,https://openalex.org/A5053521486
Michelle Monroe-Menjugas,NA
Katherine Young,https://openalex.org/A5063412207
Charles Wommack,NA
Ellen Knight,https://openalex.org/A5040481995
Scott Cossel,NA
Laura Davalos,NA
Robyn Huff-Eibl,https://openalex.org/A5091087188
Bethany Bones,NA
Charley Dejolie,NA
Linda Dols,https://openalex.org/A5039204769
