Name,ID
Irisbeltsi Enriquez-Gutierrez,NA
Elise Etrheim,NA
Richard Whitmer,NA
Fleur Van der woude,NA
Randi Johnson,NA
Maggie Dwenger,NA
Stephen Hussman,NA
Trent Purdy,https://openalex.org/A5002673670
Bianca Alper,https://openalex.org/A5079703799
Alba Fernandez-Keys,NA
Veronica Reyes-Escudero,https://openalex.org/A5083458449
Amanda Howard,NA
Lorenia Diaz,NA
Patricia Ballesteros,NA
Michelle Boyer-Kelly,https://openalex.org/A5009028857
J Myers,https://openalex.org/A5058150133
J Myers,https://openalex.org/A5049878162
J Myers,https://openalex.org/A5059491123
J Myers,https://openalex.org/A5087828312
Lisa Duncan,NA
Erika Castano,NA
Joseph Diaz,NA
