Name,ID
Alejandro Recio-Boiles,https://openalex.org/A5018235125
Alejandro Recio-Boiles,https://openalex.org/A5027681156
Casey Rendon,https://openalex.org/A5059047121
Dave Reyes,NA
Talha Riaz,https://openalex.org/A5016073754
Venkata Rokkam,https://openalex.org/A5025696852
Umbreen Rozell,https://openalex.org/A5092083797
Stephen Scholand,https://openalex.org/A5020243647
Serena Scott,https://openalex.org/A5069865214
Serena Scott,https://openalex.org/A5091232197
Aaron Scott,https://openalex.org/A5025510544
Jennifer Segar,https://openalex.org/A5040917850
Muha Jawad Sethi,NA
Manish Shah,https://openalex.org/A5064566930
Tasneem Shah,https://openalex.org/A5084432801
Nasreen Shaikh,NA
Madhan Shanmusgasundaram,NA
Sorabh Sharma,NA
Aneesha Shetty,https://openalex.org/A5006916215
Aneesha Shetty,https://openalex.org/A5017534571
Aimee Shock,NA
Puneet Shroff,https://openalex.org/A5026056645
Ivan Sierra,NA
Sebastian Silva,https://openalex.org/A5014798951
Satinder Singh,https://openalex.org/A5043014324
Kamaldeep Singh,https://openalex.org/A5083709159
Amitoj Singh,https://openalex.org/A5055186216
Mei So,https://openalex.org/A5059446348
Aadhavi Sridharan,https://openalex.org/A5084099737
Aadhavi Sridharan,https://openalex.org/A5016855682
Esteban Symonds,https://openalex.org/A5010157426
Esteban Symonds,https://openalex.org/A5085441684
Akash Taggarse,NA
Sarah Tariq,https://openalex.org/A5050285540
Sarah Tariq,https://openalex.org/A5084748161
Kai Tey,https://openalex.org/A5055572623
Bijin Thajudeen,https://openalex.org/A5019177477
Bijin Thajudeen,https://openalex.org/A5018828648
Rebecca Thiede,https://openalex.org/A5079556761
Cameron Thompson,https://openalex.org/A5065687533
Golnez Vahdani,NA
Monica Vandivort,https://openalex.org/A5039610360
Swati Vasireddy,https://openalex.org/A5088978996
Ernest Vina,https://openalex.org/A5088631049
Duane Whitaker,https://openalex.org/A5025248729
Gerald Wolff,NA
Ryan Wong,https://openalex.org/A5078075711
Ryan Wong,https://openalex.org/A5014661126
James Yanes,https://openalex.org/A5056980622
Tiffany Ynosensio,NA
